P2 ratio,P1 ratio,0.5um,1um,time (iso)
16.91,2.97,10495.84,898.51,2015-08-16T14:39:04.672000
11.47,4.48,7120.50,2779.28,2015-08-16T14:40:06.908000
12.25,1.90,7599.93,500.78,2015-08-16T14:41:09.639000
9.02,0.79,5597.03,126.88,2015-08-16T14:42:12.050000
11.18,1.19,6941.15,242.72,2015-08-16T14:43:14.010000
10.62,0.55,6592.01,71.40,2015-08-16T14:44:16.380000
9.59,1.06,5949.08,202.48,2015-08-16T14:45:18.776000
10.39,1.41,6447.19,318.31,2015-08-16T14:46:20.912000
12.68,0.92,7869.08,160.25,2015-08-16T14:47:23.524000
9.92,1.63,6158.33,399.57,2015-08-16T14:48:25.538000
10.57,1.41,6559.10,316.81,2015-08-16T14:49:28.649000
11.93,1.48,7402.78,344.32,2015-08-16T14:50:31.544000
11.21,1.46,6956.19,335.18,2015-08-16T14:51:34.144000
9.98,1.96,6195.28,525.10,2015-08-16T14:52:36.337000
9.10,1.34,5648.22,295.33,2015-08-16T14:53:38.032000
7.88,1.15,4888.83,230.30,2015-08-16T14:54:40.390000
8.95,1.28,5557.23,274.35,2015-08-16T14:55:43.034000
7.71,1.32,4784.72,285.50,2015-08-16T14:56:46.265000
8.63,1.43,5353.40,323.53,2015-08-16T14:57:49.741000
7.47,0.99,4636.47,181.79,2015-08-16T14:58:51.714000
8.16,1.44,5062.62,330.31,2015-08-16T14:59:54.105000
7.77,1.39,4821.86,311.96,2015-08-16T15:00:56.479000
7.44,1.03,4620.04,194.18,2015-08-16T15:01:59.005000
7.91,1.36,4909.67,302.17,2015-08-16T15:03:01.437000
7.77,0.86,4819.49,143.86,2015-08-16T15:04:03.275000
7.99,0.54,4955.96,68.48,2015-08-16T15:05:05.497000
6.08,0.61,3775.26,83.00,2015-08-16T15:06:07.257000
9.09,0.50,5639.09,61.27,2015-08-16T15:07:09.439000
8.61,0.71,5343.55,106.82,2015-08-16T15:08:12.227000
7.41,0.37,4600.07,37.78,2015-08-16T15:09:15.371000
8.00,0.63,4962.04,87.97,2015-08-16T15:10:17.725000
7.13,2.11,4423.42,583.63,2015-08-16T15:11:19.883000
6.52,0.59,4045.95,79.68,2015-08-16T15:12:23.600000
9.52,0.55,5908.66,70.32,2015-08-16T15:13:26.093000
8.97,0.53,5566.06,65.74,2015-08-16T15:14:28.300000
10.25,0.85,6358.16,142.81,2015-08-16T15:15:30.912000
6.64,1.27,4119.79,268.93,2015-08-16T15:16:34.080000
6.40,0.26,3973.43,22.62,2015-08-16T15:17:36.795000
7.41,0.08,4598.78,4.75,2015-08-16T15:18:40.143000
6.69,0.98,4150.27,178.37,2015-08-16T15:19:42.551000
6.92,0.65,4296.25,91.58,2015-08-16T15:20:44.729000
7.03,0.54,4360.49,68.69,2015-08-16T15:21:47.602000
8.62,0.22,5350.88,18.17,2015-08-16T15:22:49.899000
8.29,2.51,5142.72,737.08,2015-08-16T15:23:52.430000
8.70,1.53,5402.27,362.31,2015-08-16T15:24:54.820000
6.65,0.24,4127.18,19.86,2015-08-16T15:25:57.076000
8.80,0.85,5459.53,142.57,2015-08-16T15:27:00.634000
8.80,1.62,5463.42,393.41,2015-08-16T15:28:02.500000
12.85,1.50,7975.21,351.88,2015-08-16T15:29:04.407000
8.08,1.46,5017.25,337.57,2015-08-16T15:30:06.683000
6.70,0.50,4159.73,60.74,2015-08-16T15:31:10.151000
9.37,0.35,5816.64,34.71,2015-08-16T15:32:11.923000
8.66,2.97,5376.01,898.68,2015-08-16T15:33:14.023000
10.54,2.49,6539.00,729.72,2015-08-16T15:34:16.927000
10.92,1.51,6777.11,355.14,2015-08-16T15:35:20.313000
8.01,0.40,4969.51,42.29,2015-08-16T15:36:22.092000
7.90,0.40,4901.31,43.01,2015-08-16T15:37:24.811000
7.71,1.14,4783.56,228.62,2015-08-16T15:38:28.218000
10.83,2.16,6722.94,600.38,2015-08-16T15:39:30.777000
7.25,1.41,4496.60,316.98,2015-08-16T15:40:32.835000
9.18,2.30,5696.75,656.28,2015-08-16T15:41:36.262000
10.65,2.95,6610.56,893.10,2015-08-16T15:42:38.768000
10.14,0.59,6292.17,77.82,2015-08-16T15:43:41.436000
9.64,0.88,5983.22,149.01,2015-08-16T15:44:43.484000
8.68,2.04,5389.54,553.96,2015-08-16T15:45:46.354000
11.27,2.02,6996.13,546.03,2015-08-16T15:46:49.166000
8.21,2.10,5093.49,577.84,2015-08-16T15:47:51.594000
14.00,2.24,8685.62,634.41,2015-08-16T15:48:54.968000
11.81,1.10,7329.00,214.72,2015-08-16T15:49:57.579000
10.14,3.67,6291.97,1083.86,2015-08-16T15:50:59.900000
13.04,2.94,8090.49,890.53,2015-08-16T15:52:02.418000
10.37,2.51,6433.01,736.60,2015-08-16T15:53:04.681000
9.78,1.32,6068.05,287.43,2015-08-16T15:54:06.802000
10.37,1.12,6435.12,219.66,2015-08-16T15:55:09.815000
9.75,1.24,6048.12,258.38,2015-08-16T15:56:12.182000
9.25,1.45,5739.61,333.76,2015-08-16T15:57:14.851000
9.18,0.95,5695.96,170.73,2015-08-16T15:58:16.926000
8.20,0.91,5086.97,159.54,2015-08-16T15:59:19.829000
12.96,2.37,8040.52,681.38,2015-08-16T16:00:22.207000
9.47,2.81,5877.17,845.16,2015-08-16T16:01:24.131000
13.71,1.26,8511.60,265.09,2015-08-16T16:02:26.529000
11.37,3.57,7056.62,1064.22,2015-08-16T16:03:29.232000
9.04,1.15,5611.09,231.19,2015-08-16T16:04:31.589000
11.57,1.51,7181.43,352.70,2015-08-16T16:05:34.419000
11.47,0.98,7116.94,178.00,2015-08-16T16:06:37.301000
9.81,0.67,6086.80,96.93,2015-08-16T16:07:40.838000
10.52,1.21,6528.52,249.79,2015-08-16T16:08:42.770000
10.01,1.49,6210.78,346.65,2015-08-16T16:09:46.251000
9.38,1.85,5819.00,482.05,2015-08-16T16:10:49.277000
10.73,0.97,6658.89,176.62,2015-08-16T16:11:52.003000
9.15,0.84,5680.48,138.67,2015-08-16T16:12:54.151000
8.15,0.55,5059.20,71.24,2015-08-16T16:13:56.772000
8.47,0.75,5259.11,115.17,2015-08-16T16:15:00.252000
8.43,0.11,5230.08,7.18,2015-08-16T16:16:02.225000
7.17,1.11,4451.78,218.45,2015-08-16T16:17:04.718000
8.27,0.66,5135.12,94.85,2015-08-16T16:18:06.904000
7.12,0.18,4417.73,13.07,2015-08-16T16:19:09.622000
8.98,0.54,5573.56,68.79,2015-08-16T16:20:12.861000
8.07,1.81,5007.46,467.48,2015-08-16T16:21:15.670000
9.01,1.09,5594.46,212.14,2015-08-16T16:22:17.843000
8.99,1.01,5582.07,187.87,2015-08-16T16:23:21.381000
9.80,0.56,6078.95,73.45,2015-08-16T16:24:23.865000
8.17,0.59,5068.73,79.29,2015-08-16T16:25:27.349000
9.82,1.17,6092.66,237.21,2015-08-16T16:26:29.335000
11.20,2.02,6950.72,545.60,2015-08-16T16:27:31.795000
11.02,0.94,6837.30,165.28,2015-08-16T16:28:34.133000
10.02,2.41,6221.26,698.21,2015-08-16T16:29:37.028000
11.11,1.93,6891.89,513.34,2015-08-16T16:30:39.049000
11.67,1.45,7242.87,334.08,2015-08-16T16:31:41.182000
9.76,1.18,6058.85,238.74,2015-08-16T16:32:43.823000
8.79,1.41,5456.32,317.50,2015-08-16T16:33:46.106000
11.40,0.72,7076.69,109.26,2015-08-16T16:34:48.428000
12.71,4.44,7890.93,2757.20,2015-08-16T16:35:51.134000
11.76,1.99,7297.42,536.57,2015-08-16T16:36:52.902000
11.47,1.55,7116.23,369.12,2015-08-16T16:37:55.972000
19.05,2.53,11819.75,742.89,2015-08-16T16:38:59.031000
16.93,5.23,10505.19,3243.32,2015-08-16T16:40:00.906000
14.50,3.40,8996.23,1024.85,2015-08-16T16:41:04.202000
13.97,4.18,8672.50,2594.31,2015-08-16T16:42:06.883000
13.95,2.86,8656.59,860.59,2015-08-16T16:43:09.540000
11.16,0.76,6923.58,118.64,2015-08-16T16:44:12.967000
11.88,4.33,7370.63,2687.07,2015-08-16T16:45:15.141000
10.98,1.13,6814.05,223.19,2015-08-16T16:46:18.277000
12.98,4.20,8058.47,2609.26,2015-08-16T16:47:20.462000
11.93,1.34,7400.88,293.03,2015-08-16T16:48:23.013000
9.80,2.16,6082.77,603.48,2015-08-16T16:49:25.396000
7.51,2.27,4658.50,645.85,2015-08-16T16:50:28.442000
12.04,0.85,7474.62,140.80,2015-08-16T16:51:31.963000
13.60,2.35,8439.24,675.09,2015-08-16T16:52:35.713000
8.70,0.90,5401.93,155.29,2015-08-16T16:53:38.129000
9.02,0.14,5595.38,9.76,2015-08-16T16:54:40.875000
7.79,0.41,4831.54,45.02,2015-08-16T16:55:43.963000
6.98,1.46,4332.30,336.88,2015-08-16T16:56:47.656000
8.78,1.17,5449.53,235.22,2015-08-16T16:57:50.063000
7.61,0.63,4721.12,87.01,2015-08-16T16:58:52.802000
6.47,0.65,4015.83,91.47,2015-08-16T16:59:56.393000
6.96,1.21,4319.75,249.93,2015-08-16T17:00:58.341000
9.44,0.97,5859.97,175.68,2015-08-16T17:02:02.021000
8.26,0.37,5126.64,38.51,2015-08-16T17:03:05.535000
10.40,1.78,6453.83,453.60,2015-08-16T17:04:08.458000
9.52,0.98,5905.57,177.46,2015-08-16T17:05:11.344000
10.32,1.46,6403.57,336.21,2015-08-16T17:06:14.365000
9.23,1.88,5725.69,494.86,2015-08-16T17:07:17.445000
7.72,0.78,4793.79,124.48,2015-08-16T17:08:19.712000
7.24,0.94,4490.68,167.34,2015-08-16T17:09:23.275000
9.24,0.29,5734.05,26.23,2015-08-16T17:10:25.796000
7.03,2.11,4363.53,581.78,2015-08-16T17:11:28.834000
7.83,0.28,4856.33,24.93,2015-08-16T17:12:32.035000
6.59,0.22,4091.43,17.72,2015-08-16T17:13:33.951000
8.32,0.57,5165.12,74.89,2015-08-16T17:14:35.982000
7.59,0.76,4707.91,118.64,2015-08-16T17:15:39.379000
7.60,0.60,4716.30,80.30,2015-08-16T17:16:42.176000
6.91,1.18,4289.32,240.67,2015-08-16T17:17:44.743000
7.40,0.58,4593.63,76.64,2015-08-16T17:18:46.703000
6.97,0.70,4327.95,103.85,2015-08-16T17:19:49.172000
6.24,0.04,3871.96,1.93,2015-08-16T17:20:52.308000
9.01,0.89,5590.58,153.76,2015-08-16T17:21:54.178000
9.14,1.89,5669.91,497.33,2015-08-16T17:22:56.962000
11.00,3.06,6829.72,926.48,2015-08-16T17:23:59.149000
12.14,1.71,7535.92,427.58,2015-08-16T17:25:02.677000
8.06,1.16,5000.31,232.34,2015-08-16T17:26:05.101000
9.26,1.29,5748.88,277.84,2015-08-16T17:27:07.218000
8.67,1.28,5383.67,272.58,2015-08-16T17:28:10.095000
8.93,0.45,5539.55,52.35,2015-08-16T17:29:12.244000
8.51,0.60,5280.92,81.77,2015-08-16T17:30:15.454000
13.64,2.59,8464.09,765.77,2015-08-16T17:31:17.694000
10.54,2.06,6539.05,561.08,2015-08-16T17:32:20.887000
11.97,2.91,7428.33,878.01,2015-08-16T17:33:23.449000
11.87,0.81,7367.45,131.85,2015-08-16T17:34:25.177000
10.84,1.62,6729.76,394.25,2015-08-16T17:35:27.604000
10.74,1.31,6662.53,282.63,2015-08-16T17:36:30.634000
13.06,1.95,8104.54,519.42,2015-08-16T17:37:32.714000
14.52,3.26,9013.10,987.13,2015-08-16T17:38:35.722000
17.84,3.32,11071.05,1003.43,2015-08-16T17:39:37.618000
10.85,2.57,6733.20,759.13,2015-08-16T17:40:40.491000
9.98,0.85,6193.89,142.25,2015-08-16T17:41:43.059000
12.20,1.70,7570.25,424.65,2015-08-16T17:42:45.818000
11.46,1.11,7111.72,218.32,2015-08-16T17:43:48.274000
9.72,1.29,6034.29,278.01,2015-08-16T17:44:51.578000
12.86,0.76,7978.60,118.77,2015-08-16T17:45:54.883000
16.45,2.81,10212.07,843.17,2015-08-16T17:46:57.723000
14.35,3.76,8905.29,1101.28,2015-08-16T17:48:00.033000
13.26,4.20,8232.34,2609.51,2015-08-16T17:49:02.238000
9.82,2.04,6092.31,553.68,2015-08-16T17:50:05.080000
12.36,3.41,7671.18,1027.80,2015-08-16T17:51:07.200000
15.32,2.77,9508.48,832.36,2015-08-16T17:52:08.895000
14.47,2.19,8982.59,614.86,2015-08-16T17:53:11.002000
14.87,1.93,9230.91,511.59,2015-08-16T17:54:13.332000
16.51,1.18,10247.94,238.72,2015-08-16T17:55:16.959000
14.80,3.63,9183.82,1077.08,2015-08-16T17:56:19.056000
13.52,2.78,8392.47,835.28,2015-08-16T17:57:21.303000
13.29,2.03,8249.20,551.83,2015-08-16T17:58:23.976000
14.85,6.07,9217.93,3764.70,2015-08-16T17:59:26.707000
13.76,5.28,8538.28,3279.66,2015-08-16T18:00:28.999000
14.17,3.76,8796.23,1101.15,2015-08-16T18:01:30.682000
19.71,6.18,12231.12,3833.26,2015-08-16T18:02:32.663000
16.82,3.45,10436.06,1037.61,2015-08-16T18:03:34.594000
14.46,4.77,8973.29,2957.69,2015-08-16T18:04:36.952000
12.27,1.72,7615.72,432.59,2015-08-16T18:05:40.425000
10.32,1.42,6402.91,321.47,2015-08-16T18:06:42.631000
13.84,1.90,8589.26,501.77,2015-08-16T18:07:45.664000
8.24,1.91,5112.66,503.93,2015-08-16T18:08:48.694000
11.35,0.63,7043.09,86.98,2015-08-16T18:09:51.921000
13.10,2.78,8128.17,835.29,2015-08-16T18:10:54.495000
11.24,2.36,6974.83,677.30,2015-08-16T18:11:56.915000
11.87,2.32,7365.79,663.25,2015-08-16T18:12:59.007000
9.79,1.22,6077.07,254.65,2015-08-16T18:14:01.008000
11.77,1.56,7302.04,372.79,2015-08-16T18:15:02.707000
9.91,2.12,6148.71,585.72,2015-08-16T18:16:04.859000
13.78,2.22,8555.10,626.01,2015-08-16T18:17:06.809000
11.67,3.00,7240.59,907.63,2015-08-16T18:18:08.642000
11.60,2.77,7202.03,831.70,2015-08-16T18:19:10.971000
13.58,2.53,8426.57,741.78,2015-08-16T18:20:12.817000
12.37,3.25,7676.29,984.70,2015-08-16T18:21:15.752000
16.90,5.78,10489.18,3586.02,2015-08-16T18:22:18.044000
13.51,3.93,8382.06,1125.21,2015-08-16T18:23:20.706000
10.82,1.94,6713.01,516.42,2015-08-16T18:24:22.884000
10.88,1.67,6753.93,413.87,2015-08-16T18:25:26.204000
8.16,1.46,5064.25,337.38,2015-08-16T18:26:29.803000
9.35,1.41,5800.20,319.10,2015-08-16T18:27:31.784000
17.59,1.51,10917.38,353.71,2015-08-16T18:28:33.585000
19.53,4.16,12121.36,2578.76,2015-08-16T18:29:36.251000
16.66,6.55,10338.23,4066.00,2015-08-16T18:30:38.334000
17.27,4.15,10720.87,2574.47,2015-08-16T18:31:40.270000
14.90,5.18,9247.34,3216.59,2015-08-16T18:32:42.857000
14.92,3.84,9258.32,1112.58,2015-08-16T18:33:45.952000
