1um,5um,time (iso),1um arduino,arduino P1 ratio
773,59,2015-08-18T14:42:59.301000,705.471138456,2.43874115549
674,52,2015-08-18T14:43:58.053000,619.801282255,2.21452248289
883,63,2015-08-18T14:44:56.804000,466.588753979,1.81269469115
1414,120,2015-08-18T14:45:55.557000,799.926367081,2.77101114978
1232,128,2015-08-18T14:46:54.307000,820.881284493,2.79758633631
1665,176,2015-08-18T14:47:53.058000,866.414136205,2.97571618929
2104,202,2015-08-18T14:48:51.808000,2130.3146432,4.51711167623
2270,222,2015-08-18T14:49:50.557000,3794.03656088,6.11561730717
1952,196,2015-08-18T14:50:49.305000,4339.24663448,6.99500989912
1706,146,2015-08-18T14:51:48.053000,4079.46505011,6.57648840785
1485,118,2015-08-18T14:52:46.800000,3072.94682537,4.95361364682
1241,106,2015-08-18T14:53:45.548000,2752.97713675,4.43601610286
1196,117,2015-08-18T14:54:44.297000,2427.76202629,4.06847299592
1415,120,2015-08-18T14:55:43.046000,903.568736421,2.70928305894
2074,180,2015-08-18T14:56:41.795000,3403.96002625,5.49866345582
2312,201,2015-08-18T14:57:40.542000,2858.60781293,4.60152334621
6212,613,2015-08-18T14:58:39.292000,3545.79717648,5.71528616167
3599,316,2015-08-18T14:59:38.042000,7378.92455384,11.8913225175
2611,210,2015-08-18T15:00:36.793000,5559.23436199,8.95615059573
2877,225,2015-08-18T15:01:35.544000,4702.30645156,7.57889529969
2914,199,2015-08-18T15:02:34.296000,4788.78699776,7.71513447907
2661,172,2015-08-18T15:03:33.046000,3820.58025374,6.15404260153
2231,143,2015-08-18T15:04:31.795000,3574.5671185,5.76056657533
1927,121,2015-08-18T15:05:30.546000,3744.74748196,6.03737201864
2165,492,2015-08-18T15:06:29.297000,3283.9129429,5.29450756226
2098,463,2015-08-18T15:07:28.046000,2875.56326889,4.63249883005
1883,457,2015-08-18T15:08:26.796000,3149.22725123,5.07015151442
1247,233,2015-08-18T15:09:25.546000,2998.98569564,5.2428445754
1140,199,2015-08-18T15:10:24.296000,909.098186684,3.00779993057
809,110,2015-08-18T15:11:23.045000,854.515514817,2.84128499962
652,84,2015-08-18T15:12:21.794000,835.465444505,2.78853986584
570,63,2015-08-18T15:13:20.546000,483.3392286,1.85669320578
479,51,2015-08-18T15:14:19.298000,209.321280496,1.06962256407
412,49,2015-08-18T15:15:18.051000,281.388336537,1.30079362538
407,46,2015-08-18T15:16:16.801000,453.819348767,1.77363052161
408,52,2015-08-18T15:17:15.552000,609.409926974,2.18244603121
1678,135,2015-08-18T15:18:14.305000,343.172088294,1.4401339167
2563,164,2015-08-18T15:19:13.057000,3061.9655897,5.21130894353
1725,116,2015-08-18T15:20:11.809000,4203.84625674,6.77167690116
2472,153,2015-08-18T15:21:10.561000,3861.12959677,6.21839527378
1588,101,2015-08-18T15:22:09.315000,3426.18147048,5.52062361169
835,55,2015-08-18T15:23:08.067000,1896.19314015,3.57551330244
507,46,2015-08-18T15:24:06.821000,709.295038261,2.44072635564
437,35,2015-08-18T15:25:05.576000,711.423110515,2.45509829434
570,33,2015-08-18T15:26:04.333000,781.819472371,2.65087259019
766,52,2015-08-18T15:27:03.089000,412.273964691,1.66325017794
917,63,2015-08-18T15:28:01.841000,788.364050573,2.23863644489
2406,198,2015-08-18T15:29:00.600000,3212.24285578,5.17426665855
3149,249,2015-08-18T15:29:59.354000,4603.37548004,7.41728723617
3295,270,2015-08-18T15:30:58.108000,5769.47141951,9.29811336991
