P2 ratio,P1 ratio,0.5um,1um,time (iso)
10.75,1.56,666.95,96.89,2015-08-01T02:10:35.971000
12.25,1.76,760.17,108.92,2015-08-01T02:11:37.984000
10.31,1.29,640.05,80.34,2015-08-01T02:12:40.226000
11.41,1.54,707.93,95.87,2015-08-01T02:13:42.486000
11.91,1.30,739.32,80.58,2015-08-01T02:14:44.877000
12.61,1.36,782.75,84.20,2015-08-01T02:15:47.544000
11.07,1.48,687.14,91.80,2015-08-01T02:16:50.575000
13.22,1.31,820.65,81.47,2015-08-01T02:17:53.271000
10.58,1.40,656.80,86.62,2015-08-01T02:18:55.488000
10.81,1.42,671.14,88.06,2015-08-01T02:19:57.896000
12.58,1.23,780.69,76.04,2015-08-01T02:21:00.957000
13.33,1.55,827.47,96.17,2015-08-01T02:22:02.739000
11.26,1.31,698.63,81.24,2015-08-01T02:23:05.564000
11.33,1.10,703.37,68.31,2015-08-01T02:24:07.846000
10.74,1.07,666.73,66.30,2015-08-01T02:25:10.100000
12.92,1.58,801.70,97.91,2015-08-01T02:26:13.392000
11.89,2.89,737.87,179.30,2015-08-01T02:27:15.411000
12.42,0.81,770.52,50.09,2015-08-01T02:28:18.492000
9.82,0.78,609.23,48.51,2015-08-01T02:29:21.586000
11.70,1.76,725.83,109.39,2015-08-01T02:30:24.870000
11.12,1.71,689.94,105.85,2015-08-01T02:31:26.921000
12.23,1.25,758.84,77.63,2015-08-01T02:32:30.020000
11.27,2.34,699.41,145.06,2015-08-01T02:33:33.121000
11.55,2.04,716.63,126.85,2015-08-01T02:34:35.452000
11.21,2.16,696.00,134.08,2015-08-01T02:35:38.480000
10.28,1.60,638.08,99.11,2015-08-01T02:36:41.524000
10.28,2.05,637.92,126.93,2015-08-01T02:37:45.042000
13.18,1.35,817.92,83.78,2015-08-01T02:38:47.326000
10.44,1.33,647.83,82.70,2015-08-01T02:39:49.039000
12.90,1.47,800.28,90.98,2015-08-01T02:40:51.608000
12.48,1.94,774.43,120.26,2015-08-01T02:41:54.545000
11.26,0.83,698.83,51.56,2015-08-01T02:42:58.297000
11.66,1.89,723.94,117.42,2015-08-01T02:44:01.780000
10.36,0.63,642.69,39.31,2015-08-01T02:45:04.262000
13.60,1.68,844.00,104.34,2015-08-01T02:46:07.116000
12.20,1.71,756.90,106.32,2015-08-01T02:47:09.843000
11.13,1.70,690.81,105.29,2015-08-01T02:48:12.744000
9.82,1.76,609.65,109.53,2015-08-01T02:49:15.871000
11.06,1.24,686.34,77.19,2015-08-01T02:50:18.468000
10.11,1.16,627.70,71.71,2015-08-01T02:51:20.624000
