P2 ratio,P1 ratio,0.5um,1um,time (iso)
10.29,0.83,638.81,51.37,2015-08-07T01:18:03.440000
10.85,0.44,673.57,27.38,2015-08-07T01:19:05.954000
10.51,0.68,652.27,41.99,2015-08-07T01:20:08.078000
13.46,0.65,835.25,40.22,2015-08-07T01:21:09.997000
12.33,0.71,765.14,44.13,2015-08-07T01:22:13.351000
9.79,0.18,607.64,11.16,2015-08-07T01:23:17.855000
12.17,0.59,755.58,36.51,2015-08-07T01:24:21.351000
12.61,1.06,782.82,65.78,2015-08-07T01:25:24.676000
11.54,1.07,716.19,66.28,2015-08-07T01:26:26.350000
12.07,0.73,749.21,45.58,2015-08-07T01:27:28.614000
10.60,0.67,657.74,41.77,2015-08-07T01:28:31
10.26,0.56,636.55,35.06,2015-08-07T01:29:33.153000
11.72,0.36,727.36,22.62,2015-08-07T01:30:36.691000
10.58,1.11,656.41,69.08,2015-08-07T01:31:39.106000
11.38,0.74,706.14,45.81,2015-08-07T01:32:41.432000
10.99,0.72,682.29,44.68,2015-08-07T01:33:43.671000
12.03,0.45,746.85,27.93,2015-08-07T01:34:45.992000
11.52,0.99,714.81,61.48,2015-08-07T01:35:49.271000
13.68,1.29,849.13,79.83,2015-08-07T01:36:52.546000
11.77,0.92,730.65,56.96,2015-08-07T01:37:55.539000
10.79,1.09,669.33,67.57,2015-08-07T01:38:57.561000
9.96,0.44,618.01,27.30,2015-08-07T01:40:00.005000
11.49,0.78,713.09,48.19,2015-08-07T01:41:02.969000
11.13,0.65,690.89,40.53,2015-08-07T01:42:05.278000
10.39,0.80,644.56,49.44,2015-08-07T01:43:08.631000
12.09,0.81,750.25,50.21,2015-08-07T01:44:11.022000
10.12,0.22,627.93,13.54,2015-08-07T01:45:13.438000
10.82,1.17,671.42,72.86,2015-08-07T01:46:16.598000
9.83,0.77,610.29,47.49,2015-08-07T01:47:19.898000
11.08,0.39,687.82,24.16,2015-08-07T01:48:22.997000
10.84,0.32,672.72,20.09,2015-08-07T01:49:25.712000
10.80,0.24,670.35,14.59,2015-08-07T01:50:28.090000
13.71,0.63,850.71,39.41,2015-08-07T01:51:31.394000
12.02,0.76,745.79,47.24,2015-08-07T01:52:33.903000
11.14,1.01,691.56,62.85,2015-08-07T01:53:37.318000
11.83,0.54,734.38,33.21,2015-08-07T01:54:39.360000
11.35,0.41,704.13,25.75,2015-08-07T01:55:42.734000
10.57,0.41,655.98,25.25,2015-08-07T01:56:45.981000
10.07,1.04,625.08,64.56,2015-08-07T01:57:48.044000
11.76,0.59,729.67,36.55,2015-08-07T01:58:50.369000
10.95,0.69,679.79,42.52,2015-08-07T01:59:53.550000
11.34,0.36,703.63,22.05,2015-08-07T02:00:55.515000
10.15,0.12,630.16,7.54,2015-08-07T02:01:58.873000
11.49,0.58,713.34,35.70,2015-08-07T02:03:00.624000
11.03,0.61,684.60,37.98,2015-08-07T02:04:02.704000
12.02,0.45,745.83,27.84,2015-08-07T02:05:05.930000
14.15,0.43,878.09,26.91,2015-08-07T02:06:07.771000
12.84,0.94,796.92,58.08,2015-08-07T02:07:10.326000
12.42,0.59,770.73,36.64,2015-08-07T02:08:12.589000
10.02,0.49,621.58,30.40,2015-08-07T02:09:15.079000
9.57,0.42,593.64,25.98,2015-08-07T02:10:17.720000
